"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2022","97.87","97.87","97.87","97.83","0.01K","0.03%"
"11/17/2022","97.84","97.85","97.92","97.83","13.77K","-0.02%"
"11/16/2022","97.86","97.87","97.87","97.84","1.31K","0.00%"
"11/15/2022","97.86","97.87","97.88","97.82","8.34K","0.01%"
"11/14/2022","97.85","97.85","97.85","97.83","0.01K","0.01%"
"11/11/2022","97.84","97.86","97.86","97.84","0.18K","-0.01%"
"11/10/2022","97.85","97.83","97.85","97.82","0.26K","0.02%"
"11/09/2022","97.83","97.83","97.84","97.79","5.35K","0.01%"
"11/08/2022","97.82","97.82","97.85","97.81","5.42K","0.00%"
"11/07/2022","97.82","97.82","97.84","97.81","0.59K","0.01%"
"11/04/2022","97.81","97.81","97.81","97.81","","0.01%"
"11/03/2022","97.80","97.76","97.85","97.76","2.69K","0.04%"
"11/02/2022","97.76","97.78","97.79","97.76","2.72K","-0.03%"
"11/01/2022","97.79","97.81","97.81","97.76","0.29K","-0.02%"
"10/31/2022","97.81","97.80","97.81","97.80","0.05K","0.02%"
"10/28/2022","97.79","97.80","97.81","97.78","0.73K","0.00%"
"10/27/2022","97.79","97.79","97.80","97.78","0.75K","-0.01%"
"10/26/2022","97.80","97.78","97.80","97.77","1.73K","0.00%"
"10/25/2022","97.80","97.79","98.14","97.77","2.11K","0.02%"
"10/24/2022","97.78","97.79","97.83","97.78","3.06K","0.01%"
"10/21/2022","97.77","97.76","97.79","97.74","2.45K","0.01%"
"10/20/2022","97.76","97.76","97.77","97.74","6.74K","0.00%"
"10/19/2022","97.76","97.76","97.76","97.75","2.59K","0.00%"
"10/18/2022","97.76","97.76","97.77","97.76","0.06K","0.01%"
"10/17/2022","97.75","97.75","97.76","97.73","0.74K","-0.01%"
"10/14/2022","97.76","97.77","97.77","97.72","5.15K","-0.01%"
"10/13/2022","97.77","97.76","97.81","97.76","5.26K","0.01%"
"10/12/2022","97.76","97.75","97.77","97.75","0.78K","-0.01%"
"10/11/2022","97.77","97.76","97.78","97.71","4.29K","0.02%"
"10/10/2022","97.75","97.75","97.79","97.75","0.98K","0.01%"
"10/07/2022","97.74","97.73","97.79","97.72","5.19K","0.00%"
"10/06/2022","97.74","97.74","97.76","97.74","0.11K","0.02%"
"10/05/2022","97.72","97.76","97.76","97.72","1.06K","-0.01%"
"10/04/2022","97.73","97.75","97.75","97.70","6.75K","0.00%"
"10/03/2022","97.73","97.77","97.77","97.71","1.70K","-0.01%"
"09/30/2022","97.74","97.73","97.75","97.71","6.19K","0.02%"
"09/29/2022","97.72","97.71","97.74","97.70","0.11K","0.03%"
"09/28/2022","97.69","97.72","97.74","97.66","113.98K","-0.02%"
"09/27/2022","97.71","97.71","97.74","97.70","0.73K","-0.02%"
"09/26/2022","97.73","97.73","97.73","97.68","1.87K","0.03%"
"09/23/2022","97.70","97.70","97.73","97.67","3.33K","0.00%"
"09/22/2022","97.70","97.71","97.73","97.70","0.02K","0.00%"
"09/21/2022","97.70","97.71","97.73","97.69","5.98K","0.02%"
"09/20/2022","97.68","97.68","97.68","97.68","","-0.01%"
"09/19/2022","97.69","97.69","97.69","97.68","0.02K","0.00%"
"09/16/2022","97.69","97.68","97.72","97.68","6.10K","0.00%"
"09/15/2022","97.69","97.69","97.69","97.69","","0.00%"
"09/14/2022","97.69","97.69","97.71","97.67","0.06K","-0.02%"
"09/13/2022","97.71","97.69","97.71","97.67","2.22K","0.01%"
"09/12/2022","97.70","97.69","97.70","97.67","0.28K","0.03%"
"09/09/2022","97.67","97.69","97.69","97.67","0.79K","-0.02%"
"09/08/2022","97.69","97.69","97.69","97.69","","0.01%"
"09/07/2022","97.68","97.70","97.71","97.68","0.37K","-0.01%"
"09/06/2022","97.69","97.69","97.71","97.67","0.60K","0.01%"
"09/05/2022","97.68","97.69","97.71","97.68","3.34K","0.00%"
"09/02/2022","97.68","97.68","97.68","97.65","1.21K","0.01%"
"09/01/2022","97.67","97.69","97.70","97.67","0.07K","0.00%"
"08/31/2022","97.67","97.68","97.68","97.67","1.13K","-0.01%"
"08/30/2022","97.68","97.69","97.69","97.67","3.76K","-0.01%"
